Name,Bottom (ft),Top (ft),Vertical Drop (ft),Length (mi),URL,difficulty,resort_name,distance,metric,Average Steepness
  The Last Waltz ,11014 ft,11781 ft,768,0.8 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.8,mi,0.18181818181818182
  Thick & Thin ,11539 ft,11759 ft,220,357 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.06761363636363636,ft,0.6162464985994398
  Tieze's Claim ,11749 ft,11860 ft,112,244 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.04621212121212121,ft,0.45901639344262296
  Torreys ,11463 ft,11627 ft,164,499 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.09450757575757576,ft,0.3286573146292585
  Wildcat ,11824 ft,12021 ft,194,434 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.0821969696969697,ft,0.4470046082949309
  Winning Card ,11657 ft,11827 ft,171,342 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.06477272727272727,ft,0.5
  13 Cornices ,11345 ft,11621 ft,276,0.12 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.12,mi,0.4356060606060606
  1st Notch ,12359 ft,12615 ft,256,333 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.06306818181818181,ft,0.7687687687687688
  1st Tree Chute ,11608 ft,11759 ft,151,181 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.03428030303030303,ft,0.8342541436464088
  2nd Alley ,11283 ft,11699 ft,417,0.13 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.13,mi,0.6075174825174825
  2nd Notch ,12402 ft,12618 ft,217,264 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.05,ft,0.821969696969697
  2nd Tree Chute ,11614 ft,11798 ft,187,225 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.04261363636363636,ft,0.8311111111111112
  3rd Alley ,11129 ft,11552 ft,427,0.12 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.12,mi,0.6739267676767676
  3rd Tree Chute ,11598 ft,11798 ft,197,232 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.04393939393939394,ft,0.8491379310344828
  4th Alley ,11171 ft,11509 ft,341,498 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.09431818181818181,ft,0.6847389558232931
  4th Tree Chute ,11617 ft,11831 ft,217,252 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.04772727272727273,ft,0.8611111111111112
  5th Tree Chute ,11663 ft,11886 ft,223,265 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.050189393939393936,ft,0.8415094339622642
  6th Tree Chute ,11696 ft,11923 ft,223,298 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.05643939393939394,ft,0.7483221476510067
  7th Tree Chute ,11736 ft,12041 ft,305,421 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.07973484848484849,ft,0.7244655581947742
  8th Tree Chute ,11818 ft,12165 ft,348,452 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.0856060606060606,ft,0.7699115044247787
  Bald Spot ,10794 ft,10925 ft,131,194 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.03674242424242424,ft,0.6752577319587629
  Bear Trap ,10968 ft,11220 ft,253,520 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.09848484848484848,ft,0.48653846153846153
  Birthday Chute ,11995 ft,12507 ft,512,0.13 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.13,mi,0.745920745920746
  Black Forest ,10965 ft,11503 ft,538,0.28 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.28,mi,0.3639069264069264
  Booger Ramp ,12215 ft,12382 ft,164,239 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.045265151515151515,ft,0.6861924686192469
  Booger Snot ,12556 ft,12657 ft,102,146 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.027651515151515153,ft,0.6986301369863014
  Christmas Trees ,10738 ft,11037 ft,299,0.15 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.15,mi,0.37752525252525254
  Corner Chute ,12201 ft,12474 ft,272,385 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.07291666666666667,ft,0.7064935064935065
  Crags ,11293 ft,11486 ft,190,457 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.0865530303030303,ft,0.41575492341356673
  David's Run ,11398 ft,11719 ft,325,485 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.09185606060606061,ft,0.6701030927835051
  Davo ,11417 ft,11703 ft,285,0.13 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.13,mi,0.4152097902097902
  Durrance ,11781 ft,12231 ft,449,0.18 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.18,mi,0.4724326599326599
  East Avenue ,11591 ft,11998 ft,410,0.14 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.14,mi,0.5546536796536796
  East Vertical ,12303 ft,12520 ft,213,276 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.05227272727272727,ft,0.7717391304347826
  East Wall Traverse ,11752 ft,12162 ft,410,0.75 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.75,mi,0.10353535353535354
  Elephant's Trunk ,12051 ft,12267 ft,217,0.2 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.2,mi,0.20549242424242425
  End Zone ,11768 ft,12034 ft,262,0.11 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.11,mi,0.4511019283746557
  Gauthier ,11125 ft,11460 ft,335,0.1 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.1,mi,0.634469696969697
  Groswold ,11857 ft,12277 ft,420,0.13 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.13,mi,0.6118881118881119
  Hershey Highway ,12116 ft,12592 ft,476,0.12 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.12,mi,0.7512626262626262
  Hidden Chute ,12365 ft,12559 ft,190,242 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.04583333333333333,ft,0.7851239669421488
  International ,10840 ft,11827 ft,984,0.4 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.4,mi,0.4659090909090909
  Janitors Only ,10735 ft,11083 ft,348,0.1 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.1,mi,0.6590909090909091
  Jet Chute ,12510 ft,12703 ft,197,231 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.04375,ft,0.8528138528138529
  Jump ,11870 ft,12218 ft,348,0.11 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.11,mi,0.5991735537190083
  Land of the Giants ,11654 ft,11824 ft,171,478 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.09053030303030303,ft,0.3577405857740586
  Lightning Trees ,11273 ft,11565 ft,289,0.12 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.12,mi,0.45612373737373735
  Lower East Wall ,11506 ft,11703 ft,194,0.1 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.1,mi,0.36742424242424243
  Lower Elephant's Trunk ,10807 ft,11969 ft,1161,0.65 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.65,mi,0.3382867132867133
  Max ,12073 ft,12303 ft,230,366 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.06931818181818182,ft,0.6284153005464481
  Middle Y Chute ,11949 ft,12100 ft,151,197 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.03731060606060606,ft,0.766497461928934
  My Chute ,11493 ft,11732 ft,240,385 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.07291666666666667,ft,0.6233766233766234
  Narrow North Pole ,12192 ft,12444 ft,253,336 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.06363636363636363,ft,0.7529761904761906
  North Falls ,12218 ft,12539 ft,322,417 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.07897727272727273,ft,0.7721822541966427
  North Glade ,11581 ft,11877 ft,292,507 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.09602272727272727,ft,0.5759368836291914
  North Pole ,12149 ft,12405 ft,253,362 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.06856060606060606,ft,0.6988950276243094
  North Pole Coulair ,12398 ft,12608 ft,210,242 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.04583333333333333,ft,0.8677685950413224
  North Y Chute ,11880 ft,12188 ft,308,424 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.0803030303030303,ft,0.7264150943396226
  Pali Cornice ,11467 ft,12119 ft,650,0.3 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.3,mi,0.41035353535353536
  Pali Face ,11414 ft,11732 ft,318,503 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.09526515151515151,ft,0.6322067594433399
  Pali Main Street ,11027 ft,12037 ft,1010,0.37 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.37,mi,0.516994266994267
  Pali Wog ,10791 ft,11096 ft,305,0.43 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.43,mi,0.13433756166314306
  Pallavinci ,11811 ft,11942 ft,131,233 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.04412878787878788,ft,0.5622317596566524
  Rock Garden ,10994 ft,11306 ft,315,0.12 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.12,mi,0.4971590909090909
  Rollercoaster ,11155 ft,11506 ft,351,0.14 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.14,mi,0.4748376623376623
  Schauffler ,11716 ft,12234 ft,518,0.21 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.21,mi,0.4671717171717172
  Sex Favors ,12510 ft,12762 ft,249,260 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.04924242424242424,ft,0.9576923076923077
  Snorkel Nose ,12277 ft,12582 ft,305,394 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.07462121212121212,ft,0.7741116751269036
  South Falls ,12260 ft,12533 ft,269,340 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.06439393939393939,ft,0.7911764705882353
  South Y Chute ,11903 ft,12221 ft,322,419 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.07935606060606061,ft,0.7684964200477327
  Steep Gully 1 ,10528 ft,11578 ft,1053,0.33 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.33,mi,0.6043388429752066
  Steep Gully 2 ,10538 ft,11722 ft,1184,0.37 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.37,mi,0.6060606060606061
  Steep Gully 3 ,10568 ft,11270 ft,702,0.24 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.24,mi,0.5539772727272727
  Steep Gully 4 ,10522 ft,11473 ft,951,0.31 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.31,mi,0.5810117302052786
  Steep Gully 5 ,10614 ft,11211 ft,600,0.18 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.18,mi,0.6313131313131314
  The Cellar ,10860 ft,11004 ft,141,394 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.07462121212121212,ft,0.35786802030456855
  The Humbugs ,12339 ft,12431 ft,92,117 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.02215909090909091,ft,0.7863247863247863
  The Spine ,11430 ft,11890 ft,459,0.15 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.15,mi,0.5795454545454546
  Timber Glades ,11421 ft,11696 ft,276,436 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.08257575757575758,ft,0.6330275229357798
  TJ's Cornice ,12195 ft,12818 ft,623,0.17 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.17,mi,0.6940730837789661
  Turbo ,10942 ft,11381 ft,440,0.17 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.17,mi,0.49019607843137253
  West Turbo ,11339 ft,11539 ft,197,268 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.05075757575757576,ft,0.7350746268656716
  West Vertical ,12280 ft,12503 ft,220,284 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.05378787878787879,ft,0.7746478873239436
  Willy's Wide ,11955 ft,12251 ft,295,499 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.09450757575757576,ft,0.591182364729459
  Zuma Cornice ,12241 ft,12467 ft,226,0.36 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.36,mi,0.1188973063973064
  High Divide ,11467 ft,11529 ft,62,432 ft,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.08181818181818182,ft,0.14351851851851852
  Treeline ,11549 ft,11673 ft,125,0.15 mi,https://jollyturns.com/resort/united-states-of-america/arapahoe-basin/skiruns-double-black,double-black,arapahoe-basin,0.15,mi,0.15782828282828282
  Bridgeway ,9806 ft,9961 ft,157,0.15 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.15,mi,0.19823232323232323
  Carefree ,9777 ft,10778 ft,1004,1.01 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,1.01,mi,0.18826882688268826
  Coppertone ,10276 ft,11650 ft,1378,1.61 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,1.61,mi,0.1621023903632599
  Easy Feelin' ,9813 ft,10686 ft,873,0.87 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.87,mi,0.19004702194357365
  Easy Road Too ,10925 ft,11165 ft,240,0.5 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.5,mi,0.09090909090909091
  Fairway ,10141 ft,10505 ft,364,0.46 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.46,mi,0.14986824769433463
  Hidden Vein ,9911 ft,10223 ft,312,0.3 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.3,mi,0.19696969696969696
  High Point ,10686 ft,11588 ft,902,1.08 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,1.08,mi,0.158179012345679
  I-Way ,10640 ft,10748 ft,108,0.24 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.24,mi,0.08522727272727272
  Leap Frog ,10039 ft,10394 ft,354,0.4 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.4,mi,0.16761363636363635
  Loverly ,9852 ft,10033 ft,180,0.16 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.16,mi,0.2130681818181818
  Loverly Lane ,10125 ft,10256 ft,128,0.13 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.13,mi,0.1864801864801865
  Lower Sluice ,11207 ft,11355 ft,148,0.12 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.12,mi,0.2335858585858586
  Minor Matter ,10476 ft,10682 ft,207,0.43 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.43,mi,0.09117336152219872
  Pitchfork ,9754 ft,9813 ft,62,0.12 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.12,mi,0.09785353535353535
  Prospector ,9856 ft,10279 ft,427,0.56 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.56,mi,0.14441287878787878
  Roundabout ,9859 ft,11043 ft,1184,1.75 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,1.75,mi,0.12813852813852813
  Scooter ,9770 ft,10807 ft,1037,1.09 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,1.09,mi,0.1801848762857937
  See & Ski ,10850 ft,10988 ft,138,0.11 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.11,mi,0.23760330578512398
  Snowdeal ,9813 ft,9993 ft,184,0.16 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.16,mi,0.21780303030303028
  Soliloquy ,10476 ft,11601 ft,1125,1.31 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,1.31,mi,0.16264746703678
  Union Park ,11355 ft,11854 ft,499,0.66 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.66,mi,0.1431932966023875
  Vein Glory ,9938 ft,10804 ft,863,0.82 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.82,mi,0.19932557280118257
  West Ten Mile ,10131 ft,10827 ft,696,0.89 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.89,mi,0.1481103166496425
  Wheeler Creek ,11171 ft,11850 ft,679,0.74 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.74,mi,0.1737817362817363
  Woodwinds ,10423 ft,10971 ft,548,0.52 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.52,mi,0.1995920745920746
  Woodwinds Traverse ,9954 ft,10472 ft,518,0.92 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.92,mi,0.10663702239789195
  American Flyer ,10479 ft,11407 ft,928,0.78 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.78,mi,0.2253302253302253
  Andy's Encore ,10049 ft,11936 ft,1886,1.44 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,1.44,mi,0.24805345117845118
  Bittersweet ,10407 ft,11237 ft,827,0.59 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.59,mi,0.26547252182845404
  Bouncer ,9760 ft,11168 ft,1407,1.13 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,1.13,mi,0.23582059533386968
  Clear Cut ,10482 ft,10699 ft,217,0.26 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.26,mi,0.15807109557109558
  Collage ,10056 ft,11929 ft,1873,1.39 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,1.39,mi,0.2552049269675169
  Colorado Blvd ,11165 ft,11831 ft,666,0.93 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.93,mi,0.13563049853372433
  Copperfield ,10476 ft,11572 ft,1096,0.96 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.96,mi,0.21622474747474746
  Copperopolis ,11191 ft,11644 ft,453,0.31 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.31,mi,0.2767595307917889
  Fair Play ,10233 ft,11152 ft,919,0.61 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.61,mi,0.28533283656234476
  Foul Play ,10315 ft,10653 ft,341,0.24 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.24,mi,0.2690972222222222
  Frank's Fave ,9764 ft,10046 ft,282,0.28 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.28,mi,0.19074675324675325
  Home Run ,9711 ft,9774 ft,62,0.11 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.11,mi,0.10674931129476585
  I-Dropper ,10581 ft,11119 ft,538,0.37 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.37,mi,0.2753890253890254
  Jacque's Pique ,10650 ft,11388 ft,738,0.61 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.61,mi,0.2291356184798808
  Liberty ,10466 ft,10942 ft,476,0.4 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.4,mi,0.22537878787878787
  Little Burn ,10495 ft,11496 ft,1001,0.77 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.77,mi,0.24621212121212122
  Main Vein ,9764 ft,11237 ft,1473,1.18 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,1.18,mi,0.23642141756548538
  Oh No ,10787 ft,11647 ft,860,0.81 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.81,mi,0.20108492330714553
  Otto Bahn ,11493 ft,11867 ft,374,0.56 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.56,mi,0.12648809523809523
  Ptarmigan ,11237 ft,12008 ft,771,0.53 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.53,mi,0.27551457975986277
  Rhapsody ,10866 ft,11122 ft,256,0.18 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.18,mi,0.26936026936026936
  Skid Road ,9711 ft,10512 ft,801,1.11 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,1.11,mi,0.13667076167076167
  Slot Car Track ,11325 ft,11529 ft,207,0.31 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.31,mi,0.12646627565982405
  Tempo ,11112 ft,11526 ft,413,0.3 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.3,mi,0.26073232323232326
  The Moz ,10472 ft,11512 ft,1040,0.88 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.88,mi,0.2238292011019284
  Timber Ridge ,11588 ft,12159 ft,571,0.47 mi,https://jollyturns.com/resort/united-states-of-america/copper-mountain-resort/skiruns-green,green,copper-mountain-resort,0.47,mi,0.23009348807221147
