Trail Name,Bottom Elev (ft),Top Elev (ft),Vertical Drop (ft),Slope Length (ft),Difficulty,Resort,Average Steepness,Groomed,Base,Lifts,Top,Vertical Rise (ft),Black,Blue,Double Black,Green,Terrain Park,Price,Total Runs
Piney,10630.0,11273.0,643.0,3484.8,Green,Beaver Creek,0.18451561065197428,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Powell,10423.0,11394.0,968.0,1.0,Green,Beaver Creek,968.0,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Red Buffalo,10610.0,11401.0,787.0,5068.8,Green,Beaver Creek,0.15526357323232326,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Rhubarb Skiway,7858.0,8182.0,325.0,3009.6,Green,Beaver Creek,0.10798777246145667,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Ridgepoint Skiway,7664.0,7746.0,82.0,1795.2,Green,Beaver Creek,0.045677361853832435,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Saddleridge Way,8153.0,8389.0,240.0,3432.0,Green,Beaver Creek,0.06993006993006994,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Sawbuck,8117.0,9429.0,1312.0,1.3,Green,Beaver Creek,1009.2307692307692,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Second Chance,8320.0,9026.0,705.0,4224.0,Green,Beaver Creek,0.1669034090909091,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Sheephorn Escape,10407.0,10600.0,194.0,1320.0,Green,Beaver Creek,0.14696969696969694,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Sheephorn Skills Zone,10686.0,11178.0,492.0,2692.8,Green,Beaver Creek,0.18270944741532974,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Solitaire,8993.0,9206.0,213.0,1161.6,Green,Beaver Creek,0.18336776859504134,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Solitude,10801.0,11398.0,600.0,3801.6,Green,Beaver Creek,0.15782828282828285,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Stirrup,8114.0,9413.0,1296.0,1.9,Green,Beaver Creek,682.1052631578948,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Upper Cabin Fever,8940.0,9554.0,617.0,3590.4,Green,Beaver Creek,0.17184714795008912,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Upper Centennial,10725.0,11394.0,673.0,3907.2,Green,Beaver Creek,0.17224610974610974,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Via Vito,8806.0,8950.0,144.0,1108.8,Green,Beaver Creek,0.12987012987012989,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Wampum Skiway,7841.0,8343.0,502.0,4593.6,Green,Beaver Creek,0.10928247997213514,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
1876,8258.0,8789.0,535.0,1531.1999999999996,Blue,Beaver Creek,0.3493991640543365,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Assay,8356.0,8973.0,617.0,2059.2000000000007,Blue,Beaver Creek,0.2996309246309246,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Barrel Stave,9564.0,9941.0,377.0,1478.4,Blue,Beaver Creek,0.2550054112554113,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Bear Trap,8323.0,9318.0,991.0,3854.4,Blue,Beaver Creek,0.2571087588210876,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Bitterroot,8678.0,9984.0,1306.0,1.45,Blue,Beaver Creek,900.6896551724138,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Bluebell,8904.0,9209.0,305.0,1584.0,Blue,Beaver Creek,0.19255050505050506,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Borders Loop,7992.0,8675.0,682.0,4065.6,Blue,Beaver Creek,0.16774891774891776,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Borders Skiway,8553.0,8862.0,305.0,792.0,Blue,Beaver Creek,0.3851010101010101,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Borders-Pines-Chateau Skiway,7999.0,8294.0,295.0,1689.6,Blue,Beaver Creek,0.17459753787878787,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
C Prime,9797.0,10203.0,407.0,2164.8,Blue,Beaver Creek,0.18800813008130085,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Corkscrew,9242.0,9459.0,217.0,950.4,Blue,Beaver Creek,0.22832491582491585,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Coyote Glade,8701.0,9537.0,837.0,2956.8,Blue,Beaver Creek,0.2830762987012987,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Creekside Skiway,7969.0,8068.0,98.0,1742.4,Blue,Beaver Creek,0.05624426078971533,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Cresta,7448.0,9121.0,1677.0,1.44,Blue,Beaver Creek,1164.5833333333335,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Crossbow,8701.0,9049.0,348.0,1636.8,Blue,Beaver Creek,0.2126099706744868,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Dally Alley,8753.0,8914.0,164.0,686.4,Blue,Beaver Creek,0.2389277389277389,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Elkhorn Skiway,7989.0,8481.0,495.0,3326.4,Blue,Beaver Creek,0.1488095238095238,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Gee,8035.0,8192.0,157.0,490.0,Blue,Beaver Creek,0.3204081632653061,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Gold Rush,8796.0,9117.0,322.0,1003.2,Blue,Beaver Creek,0.3209728867623604,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Golden Bear,7539.0,9016.0,1473.0,1.13,Blue,Beaver Creek,1303.5398230088495,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Grubstake,8458.0,9557.0,1099.0,3907.2,Blue,Beaver Creek,0.2812755937755938,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Gunder's,8461.0,9557.0,1096.0,4065.6,Blue,Beaver Creek,0.2695789059425423,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Haw,8048.0,8343.0,295.0,844.8000000000002,Blue,Beaver Creek,0.3491950757575757,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Homerun,8166.0,8671.0,505.0,1900.8,Blue,Beaver Creek,0.26567760942760943,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Jack Rabbit Alley,10741.0,11339.0,597.0,3484.8,Blue,Beaver Creek,0.17131542699724514,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Larkspur,8855.0,10358.0,1503.0,1.11,Blue,Beaver Creek,1354.054054054054,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Latigo,8688.0,9957.0,1273.0,4910.4000000000015,Blue,Beaver Creek,0.25924568263277936,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Lower Cabin Fever,8114.0,8930.0,817.0,4118.4000000000015,Blue,Beaver Creek,0.19837801087801085,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Lower Centennial,8182.0,9298.0,1115.0,4065.6,Blue,Beaver Creek,0.2742522628886265,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Lower President Ford's,8120.0,8455.0,335.0,1478.4,Blue,Beaver Creek,0.2265963203463203,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Lower Sheephorn,10151.0,10269.0,118.0,739.2,Blue,Beaver Creek,0.15963203463203465,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Lower Stacker,8130.0,8612.0,482.0,2006.4,Blue,Beaver Creek,0.2402312599681021,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Lower Wapiti,8110.0,8386.0,276.0,1372.8,Blue,Beaver Creek,0.20104895104895107,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Lower Yarrow,9354.0,9682.0,328.0,1478.4,Blue,Beaver Creek,0.22186147186147184,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
McCoy's Skiway,7887.0,9058.0,1171.0,4804.8,Blue,Beaver Creek,0.2437146187146187,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Mystic Maze,10715.0,10994.0,282.0,1425.6,Blue,Beaver Creek,0.1978114478114478,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Overshot,9334.0,9511.0,177.0,1689.6,Blue,Beaver Creek,0.10475852272727272,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Oxford Skiway,8068.0,8130.0,62.0,844.8000000000002,Blue,Beaver Creek,0.0733901515151515,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Paint Brush,8917.0,9229.0,312.0,1689.6,Blue,Beaver Creek,0.18465909090909088,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Pow Wow,8560.0,9121.0,561.0,3115.2,Blue,Beaver Creek,0.18008474576271188,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Redtail,8878.0,10213.0,1335.0,4857.6,Blue,Beaver Creek,0.2748270750988142,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Roughlock,8140.0,8652.0,512.0,2587.2,Blue,Beaver Creek,0.1978973407544836,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Settler's Way,7995.0,8691.0,696.0,2640.0,Blue,Beaver Creek,0.2636363636363636,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Springtooth,8514.0,8875.0,364.0,1795.2,Blue,Beaver Creek,0.20276292335115864,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Stone Creek Meadows,9393.0,10171.0,778.0,3432.0,Blue,Beaver Creek,0.2266899766899767,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Upper Gold Dust,8720.0,9888.0,1168.0,4065.6,Blue,Beaver Creek,0.28728846910665096,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Upper Primrose,9869.0,10358.0,489.0,5121.5999999999985,Blue,Beaver Creek,0.0954779756326148,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Upper Wapiti,8734.0,9121.0,387.0,1848.0,Blue,Beaver Creek,0.20941558441558444,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Upper West Fall Road,9931.0,10210.0,279.0,792.0,Blue,Beaver Creek,0.3522727272727273,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Upper Harrier,9055.0,10089.0,1030.0,3432.0,Blue,Beaver Creek,0.3001165501165501,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Zoom Room,11073.0,11404.0,331.0,2481.6,Blue,Beaver Creek,0.13338168923275304,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
4 Get About It,8635.0,9229.0,594.0,1848.0,Black,Beaver Creek,0.32142857142857145,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Addy's,9406.0,10033.0,623.0,1689.6,Black,Beaver Creek,0.36872632575757575,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Bootleg,8392.0,8901.0,509.0,1320.0,Black,Beaver Creek,0.3856060606060606,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Buckboard,8176.0,9104.0,928.0,3273.6,Black,Beaver Creek,0.28347996089931576,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Cataract,9767.0,10410.0,643.0,1848.0,Black,Beaver Creek,0.34794372294372305,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Double Diamond,9442.0,10167.0,725.0,2217.6,Black,Beaver Creek,0.3269300144300145,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Flint,7526.0,7828.0,302.0,1108.8,Black,Beaver Creek,0.2723665223665224,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Fool's Gold,9088.0,9488.0,400.0,1161.6,Black,Beaver Creek,0.34435261707988984,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Helmut's,9327.0,10213.0,886.0,3326.4,Black,Beaver Creek,0.26635401635401634,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Keller Glade,9970.0,10331.0,361.0,1003.2,Black,Beaver Creek,0.3598484848484848,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Kestral,9472.0,10089.0,617.0,1689.6,Black,Beaver Creek,0.36517518939393934,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Loco,9232.0,10167.0,935.0,2376.0,Black,Beaver Creek,0.39351851851851855,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Lower Golden Eagle,8904.0,9682.0,778.0,2481.6,Black,Beaver Creek,0.3135074145712444,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Lower Goshawk,9324.0,9829.0,505.0,1478.4,Black,Beaver Creek,0.3415854978354978,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Lower Harrier,8530.0,9055.0,522.0,1267.2,Black,Beaver Creek,0.4119318181818182,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Lower West Fall Road,9754.0,9925.0,171.0,2745.6,Black,Beaver Creek,0.062281468531468535,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Lupine,10095.0,10315.0,220.0,435.0,Black,Beaver Creek,0.5057471264367817,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Middle Centennial,9314.0,10725.0,1411.0,1.03,Black,Beaver Creek,1369.9029126213593,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Middle Wapiti,8402.0,8717.0,315.0,1003.2,Black,Beaver Creek,0.3139952153110048,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Moonshine,8412.0,9167.0,751.0,2587.2,Black,Beaver Creek,0.2902752009894867,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
No Name run,10184.0,10823.0,640.0,3590.4,Black,Beaver Creek,0.17825311942959002,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
President Ford's,8793.0,9839.0,1050.0,4118.4000000000015,Black,Beaver Creek,0.2549533799533799,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Ptarmigan,8993.0,9997.0,1001.0,2428.8,Black,Beaver Creek,0.4121376811594202,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Raven Ridge,8907.0,10407.0,1499.0,4540.8,Black,Beaver Creek,0.3301180408738548,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Ripsaw,9370.0,10499.0,1129.0,4171.2,Black,Beaver Creek,0.2706655159186805,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Royal Elk Glade,10174.0,10623.0,449.0,1108.8,Black,Beaver Creek,0.40494227994228,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Ruffed Grouse,9019.0,10682.0,1667.0,4276.8,Black,Beaver Creek,0.3897774036662925,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
S.Star,9780.0,10272.0,492.0,1056.0,Black,Beaver Creek,0.4659090909090909,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Screech Owl,9685.0,10696.0,1010.0,3748.8,Black,Beaver Creek,0.2694195475885617,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Spider,9682.0,10420.0,738.0,2217.6,Black,Beaver Creek,0.3327922077922078,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Stacker,8862.0,9610.0,748.0,1848.0,Black,Beaver Creek,0.4047619047619048,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Stickline,8704.0,10075.0,1371.0,4593.6,Black,Beaver Creek,0.2984587251828631,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Three Tree Gully,9508.0,10007.0,499.0,1900.8,Black,Beaver Creek,0.2625210437710438,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Thresher Glade,8737.0,9787.0,1053.0,3907.2,Black,Beaver Creek,0.269502457002457,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Tomahawk,7697.0,8553.0,853.0,3379.2000000000007,Black,Beaver Creek,0.2524266098484848,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Upper Sheephorn,10279.0,10673.0,394.0,1267.2,Black,Beaver Creek,0.3109217171717172,Groomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Upper Yarrow,9685.0,10246.0,561.0,1425.6,Black,Beaver Creek,0.3935185185185185,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Web,9531.0,9961.0,427.0,1372.8,Black,Beaver Creek,0.3110431235431236,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Bald Eagle,9026.0,10577.0,1552.0,3907.2,,Beaver Creek,0.3972153972153972,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Black Bear Glade,9537.0,9888.0,348.0,686.4,,Beaver Creek,0.506993006993007,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Falcon Park,9052.0,9905.0,850.0,1584.0,,Beaver Creek,0.5366161616161617,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Heads Up,9806.0,10059.0,253.0,1214.4,,Beaver Creek,0.2083333333333333,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Lower Stone Creek,9393.0,9872.0,479.0,3801.6,,Beaver Creek,0.12599957912457913,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Osprey,8950.0,10135.0,1184.0,3326.4,,Beaver Creek,0.35594035594035595,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Peregrine,8865.0,10991.0,2126.0,1.13,,Beaver Creek,1881.4159292035397,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Upper Golden Eagle,9682.0,11112.0,1430.0,3854.4,,Beaver Creek,0.3710045662100456,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Upper Goshawk,9843.0,10846.0,1004.0,2323.2,,Beaver Creek,0.43216253443526176,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Upper Stone Creek,9882.0,10846.0,965.0,4118.4000000000015,,Beaver Creek,0.2343142968142968,Ungroomed,7417,16,11428,4011,0.26,0.35,0.07,0.31,0.01,209,144
Bridgeway,9806.0,9961.0,157.0,792.0,Green,Copper,0.19823232323232326,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Carefree,9777.0,10778.0,1004.0,1.01,Green,Copper,994.059405940594,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Coppertone,10276.0,11650.0,1378.0,1.61,Green,Copper,855.9006211180124,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Easy Feelin',9813.0,10686.0,873.0,4593.6,Green,Copper,0.19004702194357365,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Easy Road Too,10925.0,11165.0,240.0,2640.0,Green,Copper,0.09090909090909093,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Fairway,10141.0,10505.0,364.0,2428.8,Green,Copper,0.14986824769433466,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Hidden Vein,9911.0,10223.0,312.0,1584.0,Green,Copper,0.19696969696969696,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
High Point,10686.0,11588.0,902.0,1.08,Green,Copper,835.1851851851851,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
I-Way,10640.0,10748.0,108.0,1267.2,Green,Copper,0.08522727272727272,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Leap Frog,10039.0,10394.0,354.0,2112.0,Green,Copper,0.16761363636363635,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Loverly,9852.0,10033.0,180.0,844.8000000000002,Green,Copper,0.2130681818181818,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Loverly Lane,10125.0,10256.0,128.0,686.4,Green,Copper,0.1864801864801865,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Lower Sluice,11207.0,11355.0,148.0,633.6,Green,Copper,0.2335858585858586,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Minor Matter,10476.0,10682.0,207.0,2270.4,Green,Copper,0.09117336152219872,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Pitchfork,9754.0,9813.0,62.0,633.6,Green,Copper,0.09785353535353536,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Prospector,9856.0,10279.0,427.0,2956.8,Green,Copper,0.14441287878787878,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Roundabout,9859.0,11043.0,1184.0,1.75,Green,Copper,676.5714285714286,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Scooter,9770.0,10807.0,1037.0,1.09,Green,Copper,951.3761467889908,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
See & Ski,10850.0,10988.0,138.0,580.8,Green,Copper,0.237603305785124,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Snowdeal,9813.0,9993.0,184.0,844.8000000000002,Green,Copper,0.21780303030303028,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Soliloquy,10476.0,11601.0,1125.0,1.31,Green,Copper,858.7786259541983,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Union Park,11355.0,11854.0,499.0,3484.8,Green,Copper,0.1431932966023875,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Vein Glory,9938.0,10804.0,863.0,4329.5999999999985,Green,Copper,0.19932557280118254,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
West Ten Mile,10131.0,10827.0,696.0,4699.2,Green,Copper,0.1481103166496425,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Wheeler Creek,11171.0,11850.0,679.0,3907.2,Green,Copper,0.1737817362817363,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Woodwinds,10423.0,10971.0,548.0,2745.6,Green,Copper,0.1995920745920746,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Woodwinds Traverse,9954.0,10472.0,518.0,4857.6,Green,Copper,0.10663702239789197,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
American Flyer,10479.0,11407.0,928.0,4118.4000000000015,Blue,Copper,0.2253302253302253,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Andy's Encore,10049.0,11936.0,1886.0,1.44,Blue,Copper,1309.7222222222224,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Bittersweet,10407.0,11237.0,827.0,3115.2,Blue,Copper,0.26547252182845404,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Bouncer,9760.0,11168.0,1407.0,1.13,Blue,Copper,1245.1327433628321,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Clear Cut,10482.0,10699.0,217.0,1372.8,Blue,Copper,0.15807109557109558,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Collage,10056.0,11929.0,1873.0,1.39,Blue,Copper,1347.4820143884892,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Colorado Blvd,11165.0,11831.0,666.0,4910.4000000000015,Blue,Copper,0.13563049853372433,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Copperfield,10476.0,11572.0,1096.0,5068.8,Blue,Copper,0.21622474747474746,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Copperopolis,11191.0,11644.0,453.0,1636.8,Blue,Copper,0.2767595307917889,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Fair Play,10233.0,11152.0,919.0,3220.8,Blue,Copper,0.2853328365623448,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Foul Play,10315.0,10653.0,341.0,1267.2,Blue,Copper,0.2690972222222222,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Frank's Fave,9764.0,10046.0,282.0,1478.4,Blue,Copper,0.19074675324675325,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Home Run,9711.0,9774.0,62.0,580.8,Blue,Copper,0.10674931129476584,Groomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
I-Dropper,10581.0,11119.0,538.0,1953.6,Blue,Copper,0.2753890253890254,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Jacque's Pique,10650.0,11388.0,738.0,3220.8,Blue,Copper,0.2291356184798808,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
Liberty,10466.0,10942.0,476.0,2112.0,Blue,Copper,0.2253787878787879,Ungroomed,9711,23,12326,2615,0.35,0.22,0.2,0.19,0.04,119,141
