Trail Name,Bottom Elev (ft),Top Elev (ft),Vertical Drop (ft),Slope Length (ft),Difficulty,Resort,Average Steepness,Groomed,Base,Lifts,Top,Vertical Rise (ft),Percent Blacks,Percent Blues,Percent Double Blacks,Percent Greens,Percent Terrain Parks,Price,Total Runs,Location
Drummond,11135,11234,98,320,Black,Arapahoe Basin,0.31,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
East Woods,11588,11795,210,384,Black,Arapahoe Basin,0.55,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Eureka,11375,11539,164,419,Black,Arapahoe Basin,0.39,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Exhibition,10876,11535,656,2376,Black,Arapahoe Basin,0.28,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Face Shot Gully,11247,11765,518,1161,Black,Arapahoe Basin,0.45,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Faculty Club,11358,11493,135,279,Black,Arapahoe Basin,0.48,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Falcon,11781,12060,282,897,Black,Arapahoe Basin,0.31,Groomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Gentling's Glade,11598,11778,184,477,Black,Arapahoe Basin,0.39,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Glockenspiel Glade,11375,11768,397,1214,Black,Arapahoe Basin,0.33,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Grays,11562,11660,98,336,Black,Arapahoe Basin,0.29,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Half Moon Glades,11555,11837,282,633,Black,Arapahoe Basin,0.45,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Hauk,11063,11155,89,272,Black,Arapahoe Basin,0.33,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Jaeger,11184,11506,322,897,Black,Arapahoe Basin,0.36,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Jetta,11273,11594,322,844,Black,Arapahoe Basin,0.38,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
